"","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count","created_date","score","age","search_term","url"
"3111","313558735338761","Doutor Rosinha","“Está ficando cada vez mais claro que Marina tem um projeto pessoal de ser presidente, custe o que custar”, observa Boff em entrevista exclusiva ao Viomundo.Para Boff, Marina acolheu plenamente o receituário neoliberal. “Ela o diz com certo orgulho inconsciente, sem dar-se conta do que isso realmente significa: mercado livre, redução dos gastos públicos (menos médicos, menos professores, menos agentes sociais etc), flutuação do dólar e contenção da inflação com a eventual alta de juros”, alerta.  “Como consequência, arrocho salarial, desemprego, fome nas famílias pobres, mortes evitáveis. É o pior que nos poderia acontecer. Tudo isso vem sob o nome genérico de ‘austeridade fiscal’ que está afundando as economias da zona do Euro”.Sobre a  autonomia do Banco Central prevista no programa de Marina, Boff detona:  “Acho uma falta total de brasilidade. Significa renunciar à soberania monetária do país e entregá-la ao jogo do mercado, dos bancos e do sistema financeiro capitalista nacional e transnacional. A forma como o capital se impõe é manter sob seu controle os Bancos Centrais dos países”.Veja a íntegra da nossa entrevista. Nela, Leonardo Boff aborda o  recuo de Marina em relação à criminalização da homofobia, a sua trajetória religiosa, a influência de Silas Malafaia, Neca Setúbal (Banco Itaú), Guilherme Leal (Natura) e do economista neoliberal Eduardo Gianetti da Fonseca. Também a autonomia formal do Banco Central e o risco de ela sofrer impeachment.--via Viomundo","2014-09-04T13:00:16+0000","link","http://www.viomundo.com.br/politica/leonardo-boff.html","313558735338761_884184071609555",398,25,640,2014-09-04,431.3,-10,"Marina",NA
"3174","115987058416365","Estadão","#eleições2014","2014-09-03T02:30:01+0000","link","http://oesta.do/1pGn3ig","115987058416365_994863657195363",1271,344,309,2014-09-03,415.7,-11,"Marina",NA
"3090","204590739576667","InfoMoney","Brasil não aguenta mais mediocridade, diz Roberto Setubal, presidente do Itaú Unibanco, durante festa de 90 anos do banco; Marina Silva seria o nome natural para assumir presidência","2014-09-04T17:30:00+0000","link","http://goo.gl/3tGd8A","204590739576667_725336437502092",1076,119,439,2014-09-04,406.7,-10,"Marina",NA
"1845","96033897836","Geraldo Alckmin",NA,"2014-09-09T01:07:02+0000","video","https://www.facebook.com/video.php?v=828738677171015","96033897836_10153698161102837",3093,244,40,2014-09-09,406.5,-5,"Aécio",NA
"1948","199599520097304","Alvaro Dias",NA,"2014-09-08T10:15:23+0000","photo","https://www.facebook.com/alvarodias456/photos/a.1397418620478940.1073741828.1396841750536627/1438232673064201/?type=1","199599520097304_789837051073545",3261,98,32,2014-09-08,374.7,-6,"Aécio",NA
"2138","404767669542740","Ana Amélia Lemos","Empolgante o discurso do nosso candidato a Presidente, Aécio Neves, nesta sexta-feira, em São Leopoldo, destacando a necessidade de se governar com ética e competência. É essa a nossa posição, para conquistar a vitória nesta eleição e mudar o Rio Grande e o Brasil! #A11 #AnaAmélia11 #AnaAméliaGovernadora #MudaRioGrande #MudaBrasil","2014-09-05T17:32:33+0000","video","https://www.facebook.com/video.php?v=849096368443199","404767669542740_849096368443199",569,35,502,2014-09-05,368.6,-9,"Aécio",NA
"1788","136852373848","Terra","#eleições2014","2014-09-09T21:04:28+0000","link","http://noticias.terra.com.br/eleicoes/aecio-neves/aecio-entra-na-justica-por-dados-de-66-usuarios-do-twitter,49c246795db58410VgnVCM20000099cceb0aRCRD.html","136852373848_10153259010748849",1016,441,189,2014-09-09,347.3,-5,"Aécio",NA
"1644","160475510677017","José Simão","Montes Claros: Äécio compara sua candidatura a seleção brasileira"". E leva 7 a 1!","2014-09-11T22:52:19+0000","status",NA,"160475510677017_773052666085962",1919,41,229,2014-09-11,341.6,-3,"Aécio",NA
"1500","145800826429","Revista Época - www.epoca.com.br","Será que Marina Silva tem musculatura para aguentar o bombardeio de Dilma Rousseff e Aécio Neves? Confira a análise do editor Alberto Bombig #Eleições2014","2014-09-12T23:07:04+0000","link","http://epoca.globo.com/tempo/eleicoes/noticia/2014/09/corrida-eleitoral-6-bataques-marinab-funcionam-e-ofensiva-de-dilma-continua.html","145800826429_10152325768926430",726,350,266,2014-09-12,337.2,-2,"Aécio",NA
"2008","421927677830371","O Cafezinho","O link dessa matéria tinha sumido, por algum bug. Conseguimos recuperar o post. Segue a matéria. ","2014-09-07T14:32:50+0000","link","http://tijolaco.com.br/blog/?p=20929","421927677830371_787203787969423",407,32,392,2014-09-07,285.5,-7,"Aécio",NA
"2119","272809098799","Beto Richa","Estamos todos juntos com Aécio Neves! #ParanáQueAcredita #Sou45","2014-09-05T20:33:52+0000","video","https://www.youtube.com/watch?v=OkdbQN5Lhmo#t=16","272809098799_10152453942833800",1132,61,253,2014-09-05,283.3,-9,"Aécio",NA
"2114","272809098799","Beto Richa","Aécio está dando entrevista e, logo, vamos para o Tuiuti Esporte Clube para nos encontrar com as lideranças da região de Cascavel","2014-09-05T21:24:17+0000","photo","https://www.facebook.com/BetoRichaOficial/photos/pcb.10152454014018800/10152454012353800/?type=1&relevant_count=4","272809098799_10152454014018800",1537,63,161,2014-09-05,269.2,-9,"Aécio",NA
"1662","136852373848","Terra","#Eleições2014","2014-09-11T15:45:00+0000","link","http://noticias.terra.com.br/eleicoes/propagandaearma/blog/2014/09/11/famosos-anunciam-apoio-a-aecio-e-marina-na-tv-e-internet/","136852373848_10153263434298849",870,349,123,2014-09-11,265.5,-3,"Aécio",NA
"1641","1387055648190022","Pimenta da Veiga","Depoimento do nosso candidato a Presidência da República Aécio Neves agora aqui no #PapoReto. Minas precisa continuar a mudança. É a juventude é parte fundamental neste processo.","2014-09-11T23:22:52+0000","video","https://www.facebook.com/video.php?v=1552163851679200","1387055648190022_1552163851679200",701,37,252,2014-09-11,232.4,-3,"Aécio",NA
"1681","1387055648190022","Pimenta da Veiga","No programa de hoje, tivemos a participação de Aécio Neves, nosso candidato à Presidência da República. Vamos continuar transformando o nosso estado e manter um jeito de governar que vem dando certo nos últimos anos. Dessa forma, vamos dar um passo adiante na formação das nossas crianças e jovens, na construção do melhor sistema de saúde do Brasil e no combate à violência nos municípios mineiros http://youtu.be/pHVIdCbQU8c","2014-09-10T23:40:01+0000","video","http://youtu.be/pHVIdCbQU8c","1387055648190022_1551788678383384",643,44,235,2014-09-10,218.5,-4,"Aécio",NA
"1677","169590426398017","Yahoo Noticias","""Delírio autoritário de Haddad: esparrama ciclofaixas a torto e a direito, provocando revolta nos moradores de Higienópolis"", afirmou Aloysio Nunes.","2014-09-11T01:00:00+0000","link","https://br.noticias.yahoo.com/vice-de-a%C3%A9cio-reclama-de-ciclovia--na-porta-de-casa-194628708.html","169590426398017_840159426007777",423,187,200,2014-09-11,218.4,-3,"Aécio",NA
